검찰, 김재철 전 MBC사장 6일 오전 10시 피의자 소환(1보)	김재철 전 MBC 사장 연합뉴스 자료사진 기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
바른과 접점 키우는 국민…安 "차이보단 공통점 봐야"(종합)	안철수 국민의당 대표와 김동철 원내대표가 3일 오전 서울 여의도 국회에서 열린 국민의당 광주시당광주시청 예산정책협의회에서 대화하고 있다 2017113뉴스1 © News1 안은나 기자 국민의당·바른정당 공동추진법안으로 정책연대 시동 호남 중진 千 앙꼬 빠진 정책연대 안 하느니만 못해 서울뉴스1 박응진 기자  국민의당이 바른정당과의 접점을 키우고 있다 두 당의 정책연대를 시작으로 향후 선거연대 통합이 성사될지 주목된다  3일 두 당은 우선 Δ방송법 개정안 Δ특별감찰관법 Δ지방자치법과 국민체육진흥법 Δ규제프리존특별법 Δ서비스산업발전기본법 Δ채용절차 공정화법부정채용 금지법을 공동으로 추진하기로 했다  또한 Δ5·18진상규명 특별법 Δ선거제도 개혁법 Δ검·경 수사권 조정을 위한 형사소송법 Δ국회법 등은 앞으로 추가 논의를 통해 합의점에 이르도록 노력하기로 했다 이번 정책연대는 두 당의 선거연대 통합으로까지 이어질 가능성이 상당하다 안철수 국민의당 대표는 이날 오전 국회에서 기자들과 만나 두 당의 정책공조가 선거연대로 이어지는지 여부에 대해 이제 입법연대 정책연대부터 활발히 해보자는 것이라며 이번에는 짧은 시간이지만 공통점을 많이 찾았다고 말했다 문제는 바른정당의 분당 사태 및 국민의당 내 호남 일부 중진 의원들의 통합 반대 기류다  바른정당 의원들 중 몇명이 자유한국당으로 복귀하느냐가 국민의당과 바른정당의 정책연대·통합 가능성과 그 성격·규모 등에 영향을 미칠 것으로 보인다  일단 분당 사태 이후 바른정당에는 국민의당과의 통합에 찬성하는 의원들이 남기 때문에 선거연대·통합 논의에 속도가 붙을 전망이다  당 대표 당선 가능성이 있는 유승민 의원도 당의 책임자로서 국민의당과의 통합 추진 의견에 반대하지 못할 것이라는 관측도 있다  앞서 유 의원은 국민의당 호남 일부 중진 의원들과 햇볕정책 등을 언급하며 국민의당과의 통합에 부정적인 입장을 내비친 바 있다  이와 관련해 안 대표는 뉴스1과 만나 차이점보다는 공통점을 봐야 한다고 말했다 이는 유 의원의 언급을 우회적으로 비판하면서 통합 분위기를 띄운 것으로 해석됐다  이런 가운데 일부 호남 중진 의원들의 반발에 국민의당이 또 다시 내홍을 겪을 가능성이 큰 만큼 안 대표가 이떻게 이들을 설득할지가 관건이다 호남 중진 의원인 천정배 전 공동대표는 3일 두 당이 공동추진하겠다며 발표한 법안 중에 5·18 진상규명 특별법 민심 그대로 선거제도 등이 빠진 것과 관련해 개인성명을 내 앙꼬 빠진 찐빵이라며 안 하느니만 못하다고 지적했다  천 전 대표는 특히 5·18 진상규명 특별법 제정에 대한 합의가 이뤄지지 못한 것은 양당이 근본적인 역사인식과 가치관을 달리하고 있음을 방증한다며 바른정당의 태도 변화가 없다면 양당의 정책공조는 명분도 실리도 잃는 무망한 일이 될 것이라고 비판했다 pej86 
檢,'국정원 방송장악' 김재철 前MBC 사장 6일 피의자로 소환(1보) 	본문 내용이 없는 기사입니다 
文대통령 순직 소방관 가족 격려…"숭고한 희생 가슴에 기억"	소방의날 기념식 앞서 유가족과 소방학교 충혼탑 참배 소방 충혼탑 참배 울먹이는 유가족천안연합뉴스 배재만 기자  문재인 대통령이 3일 오전 충남 천안시 중앙소방학교에서 열린 제55주년 소방의날 기념식에 참석하기 앞서 소방 충혼탑을 참배한 뒤 탑에 새겨진 순직 소방관들 이름을 살펴보는 동안 고 이영욱 소방위의 부인 이연숙 씨가 울먹이고 있다 2017113      서울연합뉴스 박경준 기자  55회 소방의 날을 맞은 3일 오전 10시에 충남 천안시 중앙소방학교에서 열리는 기념식에 참석하기에 앞서 문재인 대통령은 소방학교 안에 있는 충혼탑을 찾았다     문 대통령은 임종석 청와대 비서실장 전병헌 정무수석 윤영찬 국민소통수석 등과 충혼탑에 도착해 대기 중이던 김부겸 행정안전부 장관 안희정 충남지사 등과 인사했다     충혼탑 앞에서는 지난해 10월 태풍 차바에 의한 집중호우로 주민을 구조하던 중 급류에 휩쓸려 순직한 고故 강기봉 소방교의 아버지인 강상주 씨 등 순직 소방관의 유가족 15명도 문 대통령을 기다리고 있었다     문 대통령은 이들과 충혼탑에 헌화와 묵념을 마치고 순직 소방관의 이름 새겨진 동판을 살펴봤다     현장에는 동판에 이름이 새겨진 고故 한상윤 대원의 부인 강영경 씨와 쌍둥이 아들 막내딸도 있었다 문 대통령 아빠의 희생 헛되지 않게천안연합뉴스 배재만 기자  문재인 대통령이 3일 오전 충남 천안시 중앙소방학교에서 열린 제55주년 소방의날 기념식에 앞서 충혼탑 참배를 마친 후 고 한상윤 소방장의 유족인 막내 딸의 손을 잡고 위로하고 있다 故 한상윤 소방장은 지난 11년 경기 평택시 가구전시장 화재 현장에서 선착대로 도착해 활동 중 천장이 붕괴하면서 매몰로 순직했다 2017113      문 대통령은 아이들의 어깨를 잡으며 한 대원의 부인에게 여러모로 참 아프고 힘드실 텐데…라고 위로했다     문 대통령은 너무나 많은 분이 숭고한 희생을 치렀는데 우리가 제대로 보답하고 있는지…라며 그래도 이렇게 가슴 속에 기억해서 다행이다라고 말했다     이어 아예 그런 소방관들이 순직하는 일이 없도록 해야 한다며 이제는 소방관 자신의 안위를 챙기는 것도 중요하다고 강조했다     문 대통령은 방명록에 숭고한 헌신과 희생 안전한 대한민국으로 보답하겠습니다라고 적었다     충혼탑 참배를 마친 문 대통령은 한 대원의 쌍둥이 아들과 함께 400ｍ 정도를 걸어서 행사장으로 이동했다     이날 기념식에서는 문 대통령 취임 후 모든 기념식에서 해당 행사와 관련 있는 인사들이 대통령 근처에 앉은 것과 마찬가지로 순직 소방관 유가족이 옆자리를 채웠다 문 대통령 할아버지랑 얘기할까천안연합뉴스 배재만 기자  문재인 대통령이 3일 오전 충남 천안시 중앙소방학교에서 열린 제55주년 소방의날 기념식에서 고 한상윤 소방장의 유족인 강영경 씨 막내 딸과 다정스런 얘기를 나누고 있다 故 한상윤 소방장은 지난 11년 경기 평택시 가구전시장 화재 현장에서 선착대로 도착해 활동 중 순간적 폭발현상인 플래시 오버가 발생해 천장이 붕괴하면서 매몰로 순직했다 2017113      문 대통령의 오른쪽에는 강씨와 쌍둥이 아들이 앉았고 왼쪽에는 조종묵 소방청장과 지난 9월 강릉 석란정 화재진압 도중 순직한 고故 이영욱 소방위의 배우자 이연숙 씨가 앉았다     문 대통령은 소방관의 활동 영상이 나올 때 눈물을 흘린 유가족을 직접 위로하기도 했다     문 대통령은 축사를 하기 전 무대에 올라 유공자 포상을 한 데 이어 배우 정우성 씨와 한지민 씨를 명예 소방관으로 임명했다     빗속에서 화재사고 현장의 소방 시범훈련을 참관한 문 대통령은 시범이 끝난 후 대원들에게 다가가 궂은 날씨에 수고가 많았다며 감동적으로 잘 봤다고 격려했다     소방대원들은 문 대통령과 악수를 마치고 기념촬영을 하는가 하면 한 소방대원은 헬멧과 유니폼에 사인을 받기도 했다 소방관들 격려하는 문 대통령천안연합뉴스 배재만 기자  문재인 대통령이 3일 오전 충남 천안시 중앙소방학교에서 열린 제55주년 소방의날 기념식에서 소방 시범 훈련을 보인 소방관들을 격려하고 있다 2017113       기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
靑 "한·미 정상회담, 한반도 정세 전환점 될 것"	청와대는 3일 도널드 트럼프 미국 대통령의 방한이 “북핵 문제의 평화적 해결과 한반도 정세 안정을 위한 전환점이 될 수 있도록 최선을 다해 준비하고 있다”고 밝혔다  국가안보실 남관표 2차장은 이날 언론 브리핑에서 트럼프 대통령의 국빈 방문 일정과 정상회담 의제를 발표하며 이 같이 말했다  남 차장은 오는 7일 한·미 정상회담에서 다룰 의제로 한·미동맹 강화 북핵문제 해결을 위한 한·미 공조 동북아 평화와 안정 구축 방안을 꼽은 뒤 “이번 회담을 통해 한·미 동맹의 중요성과 미국의 굳건한 방위공약을 재확인하고 북한에게 강력한 경고 메시지를 발신하게 될 것”이라고 말했다 앞서 문재인 대통령도 지난 1일 국회를 방문해 정세균 국회의장 및 여야 지도부 환담에서 “물밑 노력”을 하고 있음을 강조하며 “트럼프 대통령의 방한 일정이 지나면 큰 흐름이 일단락이 될 것”이라고 밝힌 바 있다 트럼프 대통령 방한을 한반도 안보위기를 완화시킬 기회로 간주하고 정부가 주도적으로 나설 뜻을 재차 밝힌 것으로 풀이된다 문 대통령은 트럼프 대통령의 방한을 앞두고 전쟁 불가 북핵 불용 남북문제의 주도적 해결 평화적 해결 북한 도발에 대한 단호한 대응 등 5대 원칙을 공개하고 전열을 정비했다 정부는 북한이 9월15일 중거리 탄도미사일 시험발사 이후 도발적 행동을 하고 있지 않은 것을 지렛대로 트럼프 대통령 방한 이후 외교적 노력을 가속화하려고 하고 있다 청와대는 이와함께 트럼프 대통령 방한 전에 대북 독자제재 방안을 발표하는 방안을 추진중이다 청와대는 지난 2일 정의용 국가안보실장 주재로 국가안전보장회의NSC 상임위를 열고 독자제재 방안을 논의했다 청와대 고위 관계자는 이날 “정부는 유엔 안보리 제재의 범위 내에서 독자 제재를 검토해왔다”며 “빠르면 트럼프 대통령 방한 전에 어떤 발표를 할 수 있을 것 같다”고 말했다 손제민·김지환 기자  
與, 국민·바른에 '3당 2+2+2' 협의체 역제안…다수 확보 모색	우원식 더불어민주당 원내대표가 3일 오후 서울 여의도 국회에서 기자간담회를 열고 국민의당과 바른정당의 정책협약에 대한 취재진의 질의에 답하고 있다 2017113뉴스1 © News1 안은나 기자 민주 국민·바른 방송법 등 우선 처리 요구에 입장정리 모든 사안 테이블에 올려 놓고 논의하자…한국당 배제 주목 서울뉴스1 박상휘 기자  더불어민주당 원내지도부는 3일 국민의당과 바른정당이 정기국회에서 정책 연대를 맺고 공통추진 법안과 예산심사 방향을 발표한데 대해 민주당과 양당의 원내대표·정책위의장이 참여하는 222 협의체를 구성해 논의하자고 역제안했다  우원식 민주당 원내대표는 양당의 공통법안 추진 발표를 효율적인 입법을 위한 좋은 시도라고 높이 평가하며 모든 사안을 논의 테이블에 올려놓을 수 있다고 강조했다  민주당이 222 회동을 제안하고 양당의 제안을 긍정적으로 받아들인건 자유한국당을 고립시키고 법안과 예산 심사에서 다수파를 확보하고자 하는 의도로 풀이된다  우 원내대표는 양당이 생산적이고 효율적인 입법과 국회 운영을 위해 입장을 내놓은 것을 높이 평가한다며 일부 야당의 반대를 위한 반대와 정쟁에 여념없는 방식을 벗어나 국민과 나라를 위한 대화와 토론은 적극 환영한다고 강조했다  그는 우리는 입법과 예산 등 모든 것을 테이블에 올려놓고 논의할 수 있는 입장이라며 다만 양당이 요구가 관철되지 않을 경우 중대결심할 수 있다고 했는데 그 것보단 대화와 토론 양보와 타협을 통해 해결하는 원칙을 먼저 세웠으면 좋겠다고 말했다  민주당은 이날 양당이 우선 처리하자고 제안한 법안에 대해서도 자신들의 입장을 설명했다  앞서 국민의당과 바른정당은 이날 정책 연대를 발표하며 방송법과 특별감찰관법 지방자치법·국민체육진흥법 규제프리존특별법 서비스산업발전기본법 채용절차 공정화법 개정안을 우선 처리하자고 요구했다  이에 대해 민주당은 우선 방송법 개정안과 관련해 야당 시절 발의한 해당 개정안을 처리해야 한다는 입장을 그대로 가지고 있다고 밝혔다 해당 개정안은 공영방송 이사를 여야가 각각 7명 6명씩 추천하도록 하고 사장은 이사의 3분의 2 이상이 찬성해 뽑도록 하는 특별다수제를 골자로 하고 있다  민주당은 해당 개정안 처리를 반대해온 한국당의 입장 선회와 이에 대한 사과가 우선돼야 한다고 강조했다  특별감찰관법 개정안은 현행 여당 1명 야당 1명 여야 합의 1명 추천의 방법을 여야 합의 3명으로 여당의 권한을 내려놓겠다고 밝혔다고 설명했으며 지자체장의 체육단체장 겸직 금지 내용을 담은 국민체육진흥법도 체육계의 의견을 듣고 충분히 협의 가능하다고 밝혔다  규제프리존법과 서비스산업발전법에 대해서는 민주당에서 독소조항이 많다는 그 동안의 입장이 분명한 만큼 양당에서 대안을 제시해달라고 요구했으며 채용절차 공정화법은 제안한 내용에 찬성한다고 설명했다 sanghwi 
이총리 "소리없이 베개 적신 여성경제인 눈물 기억…지원 총력"(종합)	축사하는 이낙연 총리서울연합뉴스 정하종 기자  이낙연 국무총리가 3일 오전 서울  JW메리어트 동대문에서 열린 제21회 여성경제인의 날에서 축사를 하고 있다      제21회 여성경제인의 날…정부 꼼꼼히 지원할 것 정책수단 가동해 여성기업 성장·세계진출 돕겠다 서울연합뉴스 성혜미 기자  이낙연 국무총리는 3일 문재인 정부는 여성경제인들이 능력을 더 발휘하도록 최선을 다해 지원하겠다며 판로와 인력 등 여러 정책수단을 가동해 여성기업의 성장과 세계진출을 돕겠다고 약속했다     이 총리는 이날 중소벤처기업부와 한국여성경제인협회가 서울 종로구 JW메리어트호텔에서 개최한 제21회 여성경제인의 날 기념식에서 축사하며 이같이 밝혔다 축사하는 이낙연 총리서울연합뉴스 정하종 기자  이낙연 국무총리가 3일 오전 서울 JW메리어트 동대문에서 열린 제21회 여성경제인의 날에서 축사를 하고 있다 2017113  이 총리는 여성기업의 대다수는 직원 10명 안팎의 소기업들이다 여성이 경영하는 수출기업은 전체의 5에 불과하다 여성에게 불리한 경제체제와 사회인식도 아직은 남아 있다며 아직도 갈 길이 멀다고 말했다     이어 전망은 절대 나쁘지 않다 여성기업은 더 많아지고 더 강해질 것이라며 이제까지 불가능해 보였던 분야에도 여성기업이 진출하고 국가 경제에서 여성기업은 더 중요한 기여를 하게 될 것이라고 말했다     그는 전날 제52회 전국여성대회에서 축사했던 것과 마찬가지로 미래사회의 가장 큰 특징이 여성화이고 여성화 추세가 한국에서 더 빨리 진행될 것이라고 강조했다     이 총리는 이런 변화에 대한 우리 사회의 준비도 빨리 진행돼야 하고 그 일을 정부가 앞장서고자 한다며 기술개발과 창업에 더 많은 여성이 도전하도록 여성전용 벤처펀드와 RD연구개발에 대한 지원을 확대할 것이라고 밝혔다     아울러 여성들이 일과 가정을 병행할 수 있도록 더 세밀한 제도와 정책을 준비해 시행하겠다고 덧붙였다      이 총리는 문재인 정부는 여성장관 30 공약을 초과 달성해서 32를 여성장관으로 임명했다며 어제 사실상 확정한 공공부문 여성 고위직 비율 확대 목표는 여성경제인 여러분이 상상하는 것보다 더 높게 잡았고 곧 국무회의를 거쳐서 발표하게 될 것이라고 설명했다 국민의례 하는 이낙연 총리서울연합뉴스 정하종 기자  이낙연 국무총리가 3일 오전 서울  JW메리어트 동대문에서 열린 제21회 여성경제인의 날에서 참석자들과 함께 국기에 대한 경례를 하고 있다          이 총리는 기업 경영은 참으로 어려운 일이다 창업 준비부터 모든 과정이 피를 말리는 시간의 연속이라며 특히 여성이 기업을 일으키고 경영한다는 것은 더 어렵다 경제체제는 남성 중심으로 작동되고 사회는 여성을 얕보곤 하며 게다가 여성은 가사와 육아의 짐을 떠안기 때문이라고 말했다      그는 삼중 사중의 난관을 이겨내시는 여성경제인 여러분은 진정한 영웅이다 여러분 모두 자부심을 가지기에 충분하다는 말씀을 꼭 드리고 싶었다 여러분을 존경한다며 여성경제인들을 추켜세웠다     이 총리는 한국여성경제인협회 회원이 1970년대 7명에서 시작해 현재 2천300여 명에 이르고 여성기업이 대한민국 전체 기업의 40에 육박할 만큼 성장한 점을 높이 평가했다     이 총리는 이러한 변화는 사회의 인식과 제도가 달라졌기 때문이기도 하지만 더 기본적으로는 여성경제인 여러분의 땀과 눈물 덕분이라며 수도 없이 밤낮을 잊고 흘린 여러분의 땀을 숱한 밤 소리없이 베개를 적신 여러분의 눈물을 우리는 기억한다고 고마움을 표현했다     이 총리는 여성경제인 여러분도 우리에게 임박한 여성화의 물결에 성공적으로 대처하도록 더 준비해 주셔야 한다며 후배 여성경제인들을 더 많이 길러 주고 여성들의 일자리도 여러분이 늘려주길 바란다고 부탁했다     이어 여러분의 그런 노력을 정부가 꼼꼼히 지원하겠다고 거듭 약속했다      기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
홍준표 "자르지 못하면 재앙"…오후 6시 '朴출당' 회견	서울연합뉴스 정윤섭 기자  자유한국당 홍준표 대표는 3일 자르지 못하면 재앙이 온다는 내용의 고사를 올려 박근혜 전 대통령 출당 결정이 임박했음을 알렸다     홍 대표는 이날 자신의 페이스북에 당단부단 반수기란當斷不斷 反受基亂 마땅히 잘라야 할 것을 자르지 못하면 훗날 재앙이 온다이라는 글을 올렸다     이는 박 전 대통령 출당이 정치적으로 불가피하다는 점을 강조하기 위한 뜻으로 해석된다     홍 대표는 앞서 오전 여의도당사에서 열린 최고위원회의에서 박 전 대통령 출당에 대한 의견을 수렴한 뒤 중요한 순간에 정치적 결정을 내리지 않으면 안 된다 더는 시간을 늦추기 어렵다 오늘 중으로 결론을 내리겠다고 말했다     홍 대표는 이날 오후 6시 당사에서 기자간담회를 열어 박 전 대통령 출당에 대한 공식 입장을 발표할 예정이다      기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
"홍종학, 잘못된 컨설팅으로 세금 더 냈을 수도"	납세자연맹 홍 후보자 쪼개기 증여에 합법적 절세 그 자체로 공직자 결격사유 아냐 오마이뉴스 이주연 기자                 ▲  xa0홍종학 중소벤처기업부 장관 후보자가 2일 오전 서울 영등포구 청문회 준비 사무실로 출근하고 있다                 ⓒ 연합뉴스     홍종학 중소벤처기업부 장관 후보자 가족의 각종 조세 관련 의혹에 대해 불법이 아니며 이것만으로 공직자로서 결격사유라 볼 수 없다는 주장이 제기됐다  한국납세자연맹은 3일 홍종학 후보 쪼개기 증여 논란에 대한 질의응답 자료를 통해 쪼개기 증여는 합법이며 모녀 간 차용증을 쓴 것은 조세회피 행위로 불법은 아니라고xa0밝혔다 납세자연맹은 조세전문가와 노동 운동가 등으로 구성된 조세 관련 시민단체다  일단 납세자연맹은 쪼개기 증여에 대해 상속증여세 세테크 교육에 가면 기본적인 절세방법으로 강의하는 내용으로 증여세 누진세율 적용을 낮추기 위해 쪼개기 증여와 세대 생략 증여는 합법이라고 설명했다 연말정산 때 부부합계 부양가족공제를 나누어 부부합계 결정세액을 낮추는 것과 마찬가지로 쪼개기 증여가 합법적인 절세라는 것이다  즉 쪼개기 증여는 합법이다  다만 청와대가 홍 후보자 가족의 쪼개기 증여에 대해 국세청이 소개하는 합법적 절세방법이라고 설명한 데 대해서는 홍 후보자 사례와는 다른 내용이라고 선을 그었다  차용증 작성 공격적 조세 회피지만 불법은 아냐 홍 후보자 딸이 외할머니로부터 건물을 물려받아 증여세를 내야 하는데 그 돈을 홍 후보자 부인에게 빌려 쓰며 차용증을 작성한 것에 대해서 납세자연맹은 조세 회피라 규정했다 조세회피는 입법취지로 보아서는 세금을 내야 하지만 세법의 구멍을 이용해 세법이 예정하지 않은 비통상적인 방법으로 세금을 덜 내는 것을 뜻한다  납세자연맹은 차용증 작성은 공격적 조세회피에 해당한다라며 대법원도 가장행위나 위법한 거래로 평가되지 않는 한 세금을 적게 내려는 새로운 거래방식 등은 납세의무자의 권리로서 존중되어야 한다고 본다라고 말했다 이어서 조세회피 노력이 성공하면 절세가 되고 실패하면 세금을 내야탈세 한다라며 조세회피 행위는 불법이 아니라고 짚었다  즉 차용증 작성도 불법은 아니다 납세자연맹은 미성년자에게 부동산 증여를 할 때 세무대리인들은 부모가 대신 부담하는 경우를 증여세 대납의 일반적인 방법으로 많이 조언한다라며 차용증 작성 방식이 부모가 증여세를 대납하는 방식보다 절세가 되는 방식이 아니다 오히려 엄마가 종합소득세 신고를 하는 번거로움과 앞으로 납부할 이자소득세 총액이 대납보다 많을 수 있다라고 진단했다 차용증 작성 자체가 대납보다 복잡할 뿐 아니라 더 세금을 많이 내는 방식일 수 있다는 지적이다 그러면서 납세자연맹은 홍 의원 장모의 세무대리인이 세무컨설팅을 잘못해준 사례로 판단할 수 있다라고 말했다 이어 부모 자식 간 차용증 작성 아이디어는 일반인 머리에서 나오기 힘들다 계약서에 세법이 정한 적정이자율이 기재된 것으로 보아 세무대리인의 컨설팅을 받은 것이 분명하다라고 덧붙였다  국세청이 차용증을 인정하지 않고 엄마가 딸에게 증여세를 대납해준 것으로 보아 증여세를 부과할 가능성에 대해 납세자연맹은 그럴 소지가 있다라고 판단했다 엄마와 미성년자 딸 사이의 이자 지급은 의미가 없기 때문이다 그러나 국세청의 불인정에 따른 세금 부과 시 납세자가 소송을 제기한다면 누가 승소할지도 장담 못한다는 것이 납세자연맹의 설명이다  한편 윤한홍 자유한국당 의원은 홍 후보자 딸의 이자소득세가 207만 원이기에 12억 원 가량의 예금을 보유한 것으로 추정된다고 주장했다 이에 대해 납세자연맹은 이자소득세 207만 원은 엄마에게 2016년 752만 원의 이자를 주면서 사채이자에 적용되는 275의 세율을 적용하며 원친징수하여 납부한 세금으로 잘못된 주장이라고 지적했다  즉 자유한국당이 내세운 홍 후보자 딸 12억 원 예금 보유설은 잘못된 주장이다  마지막으로 납세자연맹은 조세회피는 불법이 아니다 그 자체로 공직자로서 결격사유가 되는 것은 아니라며 조세회피를 그 사회가 어떻게 인식하는가 하는 사회적 규범에 달려있다라고 말했다  납세자연맹은xa0스웨덴 같은 국가에서는 정치인이 조세회피행위를 했다면 정치인 자격이 없다고 볼 것이라면서도 우리는 스웨덴 같이 세금을 잘 내는 것이 옳은 일이라는 사회적 규범이 형성되지 않은 나라라는 점을 감안해야 한다라고 짚었다  저작권자c 오마이뉴스시민기자 무단 전재 및 재배포 금지 ☞ 이 기사 응원 자발적 유료 구독  10만인클럽  ☞ 모든 시민은 기자다  오마이뉴스 기사 더보기  ☞ 페이지 좋아요 공식  페이스북 nt   본문 내용  n
'정치자금법 위반' 이군현 1심 징역형 집유…의원직 상실위기(종합2보)	혐의 2건에 징역 1년 6월에 집유 3년·징역 6월에 집유 3년 선고 보좌관 징역형·비서 벌금형…이 의원 측 항소 검토할 것 이군현 자유한국당 의원연합뉴스 자료사진 서울연합뉴스 김기훈 기자  보좌진 월급을 빼돌려 불법 정치자금으로 사용하고 후원금을 불법 수수한 혐의로 기소된 자유한국당 이군현65·경남 통영·고성 의원이 의원직 상실형에 해당하는 징역형의 집행유예를 선고받았다      서울남부지법 형사합의12부심형섭 부장판사는 3일 정치자금법 위반 혐의로 기소된 이 의원에게 정치자금 불법수수 등에 대해 징역 1년 6개월에 집행유예 3년 회계보고 누락 등에 대해 징역 6개월에 집행유예 3년을 선고했다      재판부는 또 추징금 2억6천100만 원과 사회봉사 200시간을 명령했다     이 의원은 19대 의원 시절인 2011년 7월부터 2015년 12월까지 보좌진 급여 중 2억4천600만 원을 돌려받아 국회에 등록되지 않은 다른 직원의 급여와 사무소 운영비 등으로 쓴 혐의로 지난해 8월 재판에 넘겨졌다     이 의원은 고등학교 동문인 사업가 허 모64 씨로부터 2011년 5월 1천500만 원을 격려금 명목으로 수수한 혐의도 받는다     재판부는 피고인은 헌법상 청렴의 의무가 있는 국회의원으로 자신의 고교 동문으로부터 불법 정치자금을 기부받았을 뿐만 아니라 보좌진의 급여 일부를 상납받는 형식으로도 불법 정치자금을 기부받았다고 판단했다     재판부는 또 이 의원이 보좌진 월급을 빼돌려 불법 정치자금으로 사용한 데 대해 피고인은 보좌직원의 급여를 자신이 사용할 수 있는 예산으로 인식하고 범행했다고 지적했다     이어 국회의원이 자신의 정치자금과 관련된 기초적인 법률조차 지키지 않은 것에 대한 변명이 될 수 없다며 피고인에게는 그 책임에 상응하는 처벌이 필요하다고 질타했다     재판부는 다만 피고인이 초범인 점 압수수색 이후 자수서를 제출하고 수사에 성실하게 응한 점 등을 양형에 반영했다고 설명했다      재판을 마친 뒤 기자들과 만난 이 의원은 드릴 말씀이 없다며 자리를 떠났다 이 의원의 변호인은 항소 여부를 검토해 결정하겠다고 말했다     재판부는 아울러 이 의원 측의 보좌관 김 모44 씨에 징역 4개월에 집행유예 1년을 비서 김 모35·여 씨에게는 벌금 700만 원을 사업가 허 씨에게는 벌금 500만 원을 각각 선고했다      공직선거법이나 정치자금법을 위반한 국회의원은 징역형이나 100만 원 이상의 벌금형이 확정되면 당선이 무효가 돼 의원직을 잃는다      기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
김태흠 "洪, 오늘 박근혜 제명하면 법적절차 검토"	당헌당규 위반…홍준표 독단 朴 출당은 무효 CBS노컷뉴스 강혜인 기자 자유한국당 김태흠 최고위원이 3일 오전 여의도 당사에서 열린 최고위원회의를 마치고 당사를 나서며 취재진의 질문을 받고 있다 이날 자유한국당은 박근혜 전 대통령의 출당 안을 놓고 회의를 벌였지만 홍준표 대표에게 결정을 위임한다는 결론만 내고 끝이 났다 홍 대표는 이날 오후 중으로 자신의 결정을 발표할 예정이다 사진윤창원 기자 자유한국당 김태흠 최고위원은 3일 홍준표 대표가 직권으로 박근혜 전 대통령의 출당 문제를 처리하기로 한 데 대해 절차상 결격이라며 반발했다 김 최고위원은 이날 오후 국회에서 기자간담회를 열어 홍 대표와 격론을 벌였다며 홍 대표가 최고위원들의 의견을 숙고하겠다는 말에는 동의하지만 결정은 받아들일 수 없다고 말했다  그는 만일 홍 대표가 오늘 박 전 대통령 출당 문제를 결정하면 절차적 정당성이 부정되고 심각한 당내 갈등과 법적 분쟁만 낳게 될 것이라고 지적했다  그는 재차 절차적 정당성을 강조하며 박 전 대통령을 비호하려거나 서청원·최경환 의원을 비호하려는 게 아니다 다만 모든 사안에는 절차적 정당성이 중요하다고 말했다  그러면서 서·최 두 의원을 제명한다면 바른정당 김무성 의원도 한국당으로 들어올 수 없다고 덧붙였다  그는 이날 오전 최고위원회의에서 다소 고성이 오간 사실을 전하며 절차적으로 문제가 있다는 말을 했는데 홍 대표가 박 전 대통령 문제는 당 대표가 결정할 수 있다 책임도 당 대표가 진다며 큰소리를 쳤다고 말했다 또 다른 최고위원과도 홍 대표의 직권 가능 여부를 놓고 설전이 오갔다고 전했다  김 최고위원은 홍 대표가 박 전 대통령 출당을 강행하면 법적인 검토를 통해 강력히 대응하겠다고 밝혔다  저작권자 © CBS 노컷뉴스wwwnocutnewscokr 무단전재 및 재배포 금지nt   본문 내용  n
